BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION,SETTLEPRICE,SWAPRATE,WAPRICE,CHANGE,QTY,NUMTRADES,SHORTNAME,ASSETCODE,SECID_REQUESTED
RFUD,2026-01-06,MMU6,2930.0,2918.35,2946.45,2918.35,96287696.0,2228485.0,76.0,3296,2921.35,0.0,2932.18,-0.6,1.0,54,MXI-9.26,MXI,MMU6
RFUD,2026-01-08,MMU6,2928.85,2896.25,2933.9,2898.65,102206399.0,6424174.0,221.0,3526,2898.65,0.0,2906.87,-0.68,1.0,149,MXI-9.26,MXI,MMU6
RFUD,2026-01-09,MMU6,2899.45,2891.55,2907.35,2894.85,104967261.0,3739264.0,129.0,3626,2894.85,0.0,2898.76,-0.13,1.0,98,MXI-9.26,MXI,MMU6
RFUD,2026-01-12,MMU6,2894.5,2894.4,2925.5,2895.9,110160036.0,5558696.5,191.0,3804,2895.9,0.0,2910.49,0.04,1.0,115,MXI-9.26,MXI,MMU6
RFUD,2026-01-13,MMU6,2895.9,2884.05,2908.95,2884.05,115823448.0,5789824.0,200.0,4016,2884.05,0.0,2894.91,-0.41,1.0,91,MXI-9.26,MXI,MMU6
RFUD,2026-01-14,MMU6,2889.4,2877.55,2915.45,2905.45,116973417.0,3560456.5,123.0,4026,2905.45,0.0,2894.68,0.74,1.0,107,MXI-9.26,MXI,MMU6
RFUD,2026-01-15,MMU6,2894.5,2883.1,2906.4,2896.1,124773402.0,7141114.0,247.0,4316,2890.95,0.0,2891.16,-0.32,1.0,151,MXI-9.26,MXI,MMU6
RFUD,2026-01-16,MMU6,2889.2,2887.5,2921.8,2915.0,126102900.0,2907540.0,100.0,4326,2915.0,0.0,2907.54,0.65,2.0,82,MXI-9.26,MXI,MMU6
RFUD,2026-01-19,MMU6,2918.95,2915.0,2940.65,2935.0,126860172.0,4687417.0,160.0,4328,2931.15,0.0,2929.88,0.69,5.0,116,MXI-9.26,MXI,MMU6
RFUD,2026-01-20,MMU6,2931.75,2910.6,2931.75,2920.0,126144000.0,1401631.5,48.0,4320,2920.0,0.0,2919.54,-0.51,1.0,45,MXI-9.26,MXI,MMU6
RFUD,2026-01-21,MMU6,2914.95,2914.95,2958.65,2958.65,133908499.0,6456678.0,219.0,4526,2958.65,0.0,2948.25,1.32,6.0,123,MXI-9.26,MXI,MMU6
RFUD,2026-01-22,MMU6,2955.0,2919.45,2972.45,2946.8,141033848.0,14059660.5,476.0,4786,2946.8,0.0,2953.7,-0.4,1.0,262,MXI-9.26,MXI,MMU6
RFUD,2026-01-23,MMU6,2951.3,2947.0,2963.45,2963.45,142897559.0,4109475.5,139.0,4822,2963.45,0.0,2956.52,0.56,1.0,93,MXI-9.26,MXI,MMU6
RFUD,2026-01-26,MMU6,2963.8,2950.05,2993.4,2950.1,162516294.0,24880598.5,839.0,5508,2950.55,0.0,2965.52,-0.45,1.0,401,MXI-9.26,MXI,MMU6
RFUD,2026-01-27,MMU6,2954.65,2943.0,2978.3,2971.15,185756298.0,18701573.0,632.0,6252,2971.15,0.0,2959.11,0.71,1.0,283,MXI-9.26,MXI,MMU6
RFUD,2026-01-28,MMU6,2971.2,2962.8,2983.3,2983.3,200357451.0,10014198.0,336.0,6726,2978.85,0.0,2980.45,0.41,2.0,91,MXI-9.26,MXI,MMU6
RFUD,2026-01-29,MMU6,2977.25,2974.1,3061.3,3005.0,201214800.0,17131239.0,568.0,6696,3005.0,0.0,3016.06,0.73,1.0,374,MXI-9.26,MXI,MMU6
RFUD,2026-01-30,MMU6,3012.1,2969.0,3035.0,2987.85,196613298.0,9870757.5,330.0,6594,2981.7,0.0,2991.14,-0.57,1.0,240,MXI-9.26,MXI,MMU6
RFUD,2026-02-02,MMU6,2974.85,2915.5,2974.95,2952.5,181688770.0,22624994.5,767.0,6148,2955.25,0.0,2949.59,-1.18,1.0,448,MXI-9.26,MXI,MMU6
RFUD,2026-02-03,MMU6,2960.25,2958.5,2980.15,2967.55,182940537.0,4035767.5,136.0,6162,2968.85,0.0,2967.48,0.51,1.0,105,MXI-9.26,MXI,MMU6
RFUD,2026-02-04,MMU6,2969.7,2956.35,2985.65,2964.4,182875470.0,2466519.5,83.0,6180,2959.15,0.0,2971.71,-0.11,1.0,77,MXI-9.26,MXI,MMU6
RFUD,2026-02-05,MMU6,2951.3,2903.7,2957.2,2919.2,241311210.0,35589389.0,1214.0,8274,2916.5,0.0,2931.58,-1.52,1.0,178,MXI-9.26,MXI,MMU6
RFUD,2026-02-06,MMU6,2914.35,2906.8,2928.1,2924.2,241938362.0,3240908.0,111.0,8284,2920.55,0.0,2919.74,0.17,1.0,97,MXI-9.26,MXI,MMU6
RFUD,2026-02-09,MMU6,2922.3,2899.5,2929.0,2910.9,250385288.0,10107059.5,347.0,8612,2907.4,0.0,2912.64,-0.46,1.0,183,MXI-9.26,MXI,MMU6
RFUD,2026-02-10,MMU6,2912.65,2896.75,2921.95,2903.0,250180540.0,5470371.5,188.0,8618,2903.0,0.0,2909.77,-0.27,1.0,119,MXI-9.26,MXI,MMU6
RFUD,2026-02-11,MMU6,2903.0,2902.0,2936.9,2935.0,253286185.0,10770555.5,369.0,8630,2934.95,0.0,2918.89,1.1,1.0,211,MXI-9.26,MXI,MMU6
RFUD,2026-02-12,MMU6,2934.95,2920.0,2948.95,2940.2,250328628.0,3584881.5,122.0,8514,2940.2,0.0,2938.43,0.18,1.0,69,MXI-9.26,MXI,MMU6
RFUD,2026-02-13,MMU6,2937.0,2925.85,2953.0,2950.35,251546841.0,5378132.5,183.0,8526,2950.35,0.0,2938.79,0.34,1.0,132,MXI-9.26,MXI,MMU6
RFUD,2026-02-16,MMU6,2949.75,2947.0,2962.25,2952.1,251447101.0,3515604.0,119.0,8518,2951.95,0.0,2954.29,0.06,4.0,92,MXI-9.26,MXI,MMU6
RFUD,2026-02-17,MMU6,2951.0,2931.0,2959.5,2938.1,252206504.0,2768331.5,94.0,8584,2938.1,0.0,2944.78,-0.47,1.0,65,MXI-9.26,MXI,MMU6
RFUD,2026-02-18,MMU6,2941.05,2925.0,2946.65,2937.3,254605164.0,5044988.5,172.0,8668,2937.3,0.0,2933.13,-0.03,1.0,128,MXI-9.26,MXI,MMU6
RFUD,2026-02-19,MMU6,2943.1,2925.05,2944.8,2928.5,253549530.0,1527246.0,52.0,8658,2928.5,0.0,2937.06,-0.3,1.0,45,MXI-9.26,MXI,MMU6
RFUD,2026-02-20,MMU6,2930.8,2927.0,2950.65,2945.0,251679700.0,3998898.0,136.0,8546,2945.0,0.0,2940.37,0.56,1.0,98,MXI-9.26,MXI,MMU6
RFUD,2026-02-24,MMU6,2946.65,2940.45,2968.55,2947.05,258072240.0,8354429.0,283.0,8772,2942.0,0.0,2952.1,0.07,1.0,167,MXI-9.26,MXI,MMU6
RFUD,2026-02-25,MMU6,2944.45,2935.0,2955.85,2954.8,263331776.0,4208931.0,143.0,8912,2954.8,0.0,2943.31,0.26,1.0,106,MXI-9.26,MXI,MMU6
RFUD,2026-02-26,MMU6,2954.8,2940.1,2958.4,2940.1,264609000.0,3246093.5,110.0,9000,2940.1,0.0,2950.99,-0.5,5.0,66,MXI-9.26,MXI,MMU6
RFUD,2026-02-27,MMU6,2944.25,2935.6,2951.95,2949.85,266430452.0,2352972.5,80.0,9032,2949.85,0.0,2941.22,0.33,1.0,52,MXI-9.26,MXI,MMU6
RFUD,2026-03-02,MMU6,2947.55,2946.1,2991.65,2970.65,268724999.0,12634866.0,425.0,9046,2970.65,0.0,2973.09,0.7,1.0,336,MXI-9.26,MXI,MMU6
RFUD,2026-03-03,MMU6,2970.0,2964.45,2995.0,2965.25,268414430.0,8571456.0,288.0,9052,2965.25,0.0,2976.23,-0.18,1.0,214,MXI-9.26,MXI,MMU6
RFUD,2026-03-04,MMU6,2963.05,2951.5,2982.55,2951.5,267623664.0,4384422.5,148.0,9064,2952.6,0.0,2962.38,-0.46,1.0,104,MXI-9.26,MXI,MMU6
RFUD,2026-03-05,MMU6,2958.3,2954.0,2980.0,2966.95,270955552.0,4512268.5,152.0,9128,2968.4,0.0,2968.6,0.52,1.0,108,MXI-9.26,MXI,MMU6
RFUD,2026-03-06,MMU6,2971.65,2968.8,2991.6,2991.6,275424450.0,6346291.5,213.0,9220,2987.25,0.0,2979.51,0.83,1.0,148,MXI-9.26,MXI,MMU6
RFUD,2026-03-09,MMU6,2987.9,2981.55,3027.6,3012.85,291764394.0,20654701.0,687.0,9684,3012.85,0.0,3006.74,0.71,1.0,383,MXI-9.26,MXI,MMU6
RFUD,2026-03-10,MMU6,3019.15,2986.45,3020.0,2989.2,294333426.0,11692883.5,389.0,9852,2987.55,0.0,3005.77,-0.78,2.0,199,MXI-9.26,MXI,MMU6
RFUD,2026-03-11,MMU6,2993.55,2983.0,3003.0,2992.5,296243883.0,7366349.0,246.0,9906,2990.55,0.0,2995.05,0.11,1.0,182,MXI-9.26,MXI,MMU6
RFUD,2026-03-12,MMU6,2990.0,2990.0,3006.2,3000.0,299058656.0,8182500.5,273.0,9958,3003.2,0.0,2997.86,0.25,1.0,164,MXI-9.26,MXI,MMU6
RFUD,2026-03-13,MMU6,3000.2,2996.75,3018.1,3003.1,303923172.0,6802149.5,226.0,10122,3002.6,0.0,3009.76,0.1,1.0,145,MXI-9.26,MXI,MMU6
RFUD,2026-03-16,MMU6,3003.75,2976.5,3018.1,2978.15,326855880.0,31489114.5,1052.0,10972,2979.0,0.0,2993.25,-0.83,16.0,463,MXI-9.26,MXI,MMU6
RFUD,2026-03-17,MMU6,2981.25,2981.25,3000.0,2988.95,330660440.0,25701233.0,859.0,11080,2984.3,0.0,2992.15,0.36,1.0,374,MXI-9.26,MXI,MMU6
RFUD,2026-03-18,MMU6,2986.75,2980.15,3010.0,3006.0,338021332.0,27564885.0,919.0,11252,3004.1,0.0,2999.46,0.57,1.0,493,MXI-9.26,MXI,MMU6
RFUD,2026-03-19,MMU6,3005.85,2990.0,3020.0,2996.0,343799785.0,27323866.0,909.0,11482,2994.25,0.0,3005.91,-0.33,1.0,471,MXI-9.26,MXI,MMU6
RFUD,2026-03-20,MMU6,2996.3,2981.6,3008.7,2987.0,353884223.0,36556823.0,1220.0,11858,2984.35,0.0,2996.46,-0.3,1.0,720,MXI-9.26,MXI,MMU6
RFUD,2026-03-23,MMU6,2982.15,2933.55,2996.0,2945.0,368724900.0,80395150.5,2717.0,12478,2955.0,0.0,2958.75,-1.41,1.0,1349,MXI-9.26,MXI,MMU6
RFUD,2026-03-24,MMU6,2952.25,2944.95,2963.0,2946.9,378326586.0,25549536.5,865.0,12788,2958.45,0.0,2953.7,0.07,1.0,438,MXI-9.26,MXI,MMU6
RFUD,2026-03-25,MMU6,2953.3,2948.65,2960.0,2954.1,396654390.0,23995458.5,812.0,13410,2957.9,0.0,2953.85,0.24,4.0,324,MXI-9.26,MXI,MMU6
RFUD,2026-03-26,MMU6,2959.7,2921.2,2969.35,2936.0,417184556.0,41096166.5,1398.0,14218,2934.2,0.0,2939.48,-0.61,1.0,725,MXI-9.26,MXI,MMU6
RFUD,2026-03-27,MMU6,2927.9,2888.65,2940.0,2899.0,433743882.0,50256052.5,1727.0,14982,2895.1,0.0,2909.95,-1.26,3.0,857,MXI-9.26,MXI,MMU6
