region,year,population_avg,life_expectancy,visits_per_capita,urban_share,grp_total,age_struct_share,emissions_h1,emissions_fuel,industrial_index,grp_pc,emissions_h1_pc,emissions_fuel_pc,ln_grp_pc,ln_emissions_h1_pc,ln_emissions_fuel_pc,ln_population_avg,emp_mining,emp_manufacturing,emp_energy,emp_metallurgy,emp_chemicals,emp_construction,emp_mining_pc,emp_manufacturing_pc,emp_energy_pc,emp_metallurgy_pc,emp_chemicals_pc,emp_construction_pc,ln_emp_mining_pc,ln_emp_manufacturing_pc,ln_emp_energy_pc,ln_emp_construction_pc
Костромская область,2015,635251.0,70.13,10.6,71.4,160579751.0,56.1,24.22,32.05,91.5,252.78157924977685,3.812666174472767e-05,5.045249830382006e-05,5.532525792726076,-10.174596737239618,-9.894478291997885,13.361775475364563,426.0,58665.0,8758.0,1877.0,1261.0,16257.0,0.0006706010694985132,0.09234932333833398,0.013786676447577414,0.002954737576170679,0.0019850421329521716,0.02559145912403129,-7.3073361290951935,-2.3821768995068395,-4.28405262800322,-3.6654966111303398
Краснодарский край,2015,5542754.0,72.6,8.6,54.5,1933512135.6,57.2,79.49,29.57,104.8,348.83600022660215,1.434124624690181e-05,5.334893087443535e-06,5.854601898367704,-11.152370819532608,-12.141241713253244,15.52800204711763,11605.0,287346.0,44566.0,7553.0,7658.0,246318.0,0.002093724527554353,0.051841737879761575,0.008040407349848108,0.001362679996261786,0.001381623647739012,0.044439641376831804,-6.168810728409093,-2.959559703584878,-4.823275531670717,-3.1136233840715364
Красноярский край,2015,2865506.0,69.72,8.3,77.7,1667041088.4,59.7,1259.17,305.21,99.0,581.7615068333481,0.0004394232641634,0.0001065117295165,6.366060581674535,-7.730047454118549,-9.147255442574188,14.868255506847152,29342.0,197713.0,46832.0,48566.0,2869.0,113478.0,0.010239727294237038,0.06899758716261631,0.016343361347001192,0.016948490074702338,0.0010012193308965329,0.03960138279242828,-4.581480291147562,-2.67368374365403,-4.113933497915484,-3.228891242330642
Курганская область,2015,852225.0,68.85,7.8,62.0,179436329.9,54.2,33.7,25.06,101.8,210.5504179060694,3.954354777200857e-05,2.9405380034615272e-05,5.3497251394365035,-10.138108018096004,-10.434332905986397,13.65560585545432,1013.0,58000.0,9845.0,430.0,253.0,19201.0,0.0011886532312476166,0.0680571445334272,0.011552113585027429,0.0005045615887823052,0.0002968699580509842,0.022530435037695445,-6.734934351205636,-2.687407565925763,-4.460886864381093,-3.792888215461403
Курская область,2015,1116370.0,70.77,8.5,66.8,336999397.4,56.6,12.59,4.43,104.3,301.8707036197676,1.1277623010292289e-05,3.9682184222076905e-06,5.709998791990087,-11.392690060138133,-12.437193324137342,13.925592908194384,12338.0,68749.0,16577.0,768.0,1566.0,30479.0,0.011051891398013203,0.061582629414978905,0.014849019590279209,0.0006879439612314913,0.0014027607334485877,0.027301880201008627,-4.505153698424802,-2.7873754382259,-4.20982143676952,-3.6007997073309608
Ленинградская область,2015,1815091.0,71.36,6.5,65.4,849616556.2,59.0,119.56,33.269999999999996,99.6,468.0848267111677,6.586997566513194e-05,1.832965950467497e-05,6.148649533149529,-9.627827824749543,-10.906990072134896,14.41164616216528,5826.0,135653.0,23905.0,4031.0,5474.0,91977.0,0.003209756425435419,0.07473619779944918,0.013170138577074096,0.002220825291955059,0.003015826754691638,0.05067349240341118,-5.741560224645901,-2.5937907285837176,-4.329803241105076,-2.9823523373893126
Липецкая область,2015,1166590.0,71.11,7.8,63.7,448994309.7,56.9,151.7,9.72,100.8,384.8775574109156,0.0001300371167248,8.331976101286657e-06,5.95292525100574,-8.947690634992156,-11.695409902874191,13.96959552134654,3164.0,102660.0,13007.0,33272.0,1079.0,42891.0,0.002712178228855039,0.088000068575935,0.011149589830188841,0.028520731362346667,0.0009249179231778089,0.036766130345708435,-5.910003192458995,-2.4304176852322454,-4.496352568282799,-3.303178228649266
Магаданская область,2015,146453.0,67.93,10.5,95.9,125798292.9,62.0,14.08,18.0,107.5,858.9669921408233,9.61400585853482e-05,0.000122906324896,6.755730495333066,-9.249704486123274,-9.004088078957345,11.89445983685317,12299.0,3446.0,6176.0,42.0,208.0,7535.0,0.08397916054980097,0.0235297330884311,0.0421705256976641,0.00028678142475743073,0.001420250865465371,0.05144995322731525,-2.4771865996107594,-3.749490419765295,-3.166033745148558,-2.9671457257925744
Москва,2015,12278053.0,76.45,10.8,100.0,13520862856.8,60.3,36.38,34.71,97.2,1101.2220632049723,2.9630105033754134e-06,2.8269954527806648e-06,7.004175808669787,-12.729304744534238,-12.776296087750518,16.323323917624215,11458.0,787494.0,75459.0,3665.0,21688.0,949685.0,0.000933209850128518,0.06413834506171297,0.006145844133430602,0.0002985000960657199,0.0017664038426939515,0.07734817564315775,-6.97688046265569,-2.7467128870189326,-5.09197917624779,-2.5594382879793125
Московская область,2015,7736019.0,72.9,8.5,79.8,3180924558.4,59.8,100.46,113.39,101.1,411.1836538147075,1.2986007402515428e-05,1.4657409709050612e-05,6.019039960954669,-11.251638133839991,-11.13056456817814,15.861397772161888,5998.0,634537.0,74799.0,19428.0,27942.0,349996.0,0.0007753341867438537,0.08202371271321851,0.009668926614580445,0.002511369219749848,0.0036119352860948246,0.04524239146775622,-7.162216412852935,-2.500746894092702,-4.638837977272644,-3.095720767333028
