region,year,population_avg,life_expectancy,visits_per_capita,urban_share,grp_total,age_struct_share,emissions_h1,emissions_fuel,industrial_index,grp_pc,emissions_h1_pc,emissions_fuel_pc,ln_grp_pc,ln_emissions_h1_pc,ln_emissions_fuel_pc,ln_population_avg
Самарская область,2015,3222676.0,70.4,8.9,80.3,1264910264.8,58.2,125.2,39.39,99.4,392.5030827796527,3.884970130413358e-05,1.222276145662797e-05,5.972544391407294,-10.155810169619464,-11.312210651302648,14.985722628285462
Санкт-Петербург,2015,5303737.0,74.42,9.3,100.0,3387417730.2,60.3,36.44,38.69,93.0,638.6850875524182,6.8706272577241285e-06,7.294856438017194e-06,6.459411512169746,-11.888255152007988,-11.828341055687323,15.483922224399745
Саратовская область,2015,2518281.0,71.5,8.8,75.5,625176880.6,57.7,55.32,10.99,104.2,248.2554093844174,2.1967365834074912e-05,4.3640880425973114e-06,5.514458092756028,-10.725952577068607,-12.342101315449636,14.739087083865165
Сахалинская область,2015,479031.0,67.95,9.9,81.3,837495152.9,59.6,30.02,44.34,112.6,1748.3109713150088,6.266817805110734e-05,9.256185925336774e-05,7.466405441602896,-9.677656766256446,-9.287633388273596,13.079520592461762
Свердловская область,2015,4328434.0,69.82,7.4,84.5,1822834946.3,57.3,494.85,403.56,96.9,421.1303548350281,0.0001143254119157,9.323464329131506e-05,6.042942417193582,-9.07646168540281,-9.280391196205173,15.280716371745351
Севастополь,2015,418188.0,70.76,6.2,92.4,48663257.2,57.2,0.96,0.88,372.9,116.36693831482492,2.2956182386869064e-06,2.104316718796331e-06,4.756748459855724,-12.984508365680641,-13.071519742670272,12.943686371160387
Смоленская область,2015,952054.0,69.64,7.9,72.5,256706829.0,58.3,20.19,10.67,101.4,269.63473605488764,2.120678028767276e-05,1.1207347482390704e-05,5.597068213672173,-10.76118960252916,-11.398940969540245,13.766377034853907
Ставропольский край,2015,2850555.0,73.42,8.5,58.6,621198289.9,58.8,45.06,25.83,105.7,217.9218748278844,1.580744802327968e-05,9.061393307619044e-06,5.3841366262092185,-11.055029335124082,-11.611487663020432,14.86302427012818
Тамбовская область,2015,1055894.0,71.63,9.0,59.3,317213651.1,57.0,19.0,11.25,104.5,300.4218710400855,1.7994230481468784e-05,1.0654478574553886e-05,5.705187723631486,-10.925459380255736,-11.449530230771748,13.869898359422177
Тверская область,2015,1308195.0,69.09,8.0,75.2,329616031.6,56.0,26.8,23.46,97.7,251.96246094810027,2.048624249442935e-05,1.7933106302959422e-05,5.529280111923446,-10.795756994939575,-10.928862039231058,14.084158882456387
Томская область,2015,1073321.0,71.29,7.8,71.7,471456736.3,60.4,149.27,48.82,108.0,439.25045377850614,0.0001390730266155,4.548499470335529e-05,6.085069760142384,-8.880511391458251,-9.99812807313842,13.886268138103233
Тульская область,2015,1535617.0,70.26,9.3,76.9,477537816.9,56.4,74.8,44.45,111.9,310.9745573928916,4.8710062470003914e-05,2.89460197432042e-05,5.739711099806621,-9.92962492765837,-10.450077850678888,14.244442812638802
Тюменская область,2015,1462199.0,70.91,,63.9,905673481.7,54.9,63.83,22.36,109.7,619.3913972721907,4.365342884244894e-05,1.5292036172914905e-05,6.428737378634436,-10.039228725672181,-11.088178376653248,14.195452024940147
Удмуртская Республика,2015,1502569.0,70.35,10.3,65.0,517999830.2,57.5,80.1,18.98,102.6,344.7427906472182,5.3308699966524e-05,1.2631699442754376e-05,5.842798604626528,-9.839411013723636,-11.279301074616166,14.222686867797949
Ульяновская область,2015,1254898.0,70.36,9.6,74.6,304479075.1,57.7,15.89,9.09,102.4,242.63252877923148,1.2662383715648602e-05,7.243616612664934e-06,5.491548071524921,-11.276874871796014,-11.835389944155251,14.04256485234464
Хабаровский край,2015,1333055.0,68.78,9.7,82.6,595792329.5,60.5,67.19,82.95,102.0,446.9375453375892,5.040302163076542e-05,6.222548957094794e-05,6.1024188652491675,-9.895459431692682,-9.684745841988287,14.102983858624741
Ханты-Мансийский автономный округ - Югра (Тюменская область),2015,1624107.0,72.62,11.6,91.9,3154058740.2,61.6,689.68,114.85,97.5,1942.026442962194,0.0004246518240485,7.071578412013494e-05,7.571487265113972,-7.764240962331256,-9.556841755097727,14.300468684232834
Челябинская область,2015,3500128.0,69.9,7.7,82.5,1209242684.3,57.2,323.22,146.48,98.0,345.48527490994616,9.234519423289664e-05,4.184989806087091e-05,5.844950022646648,-9.289976891298998,-10.08142119685324,15.068310097219495
Чеченская Республика,2015,1382576.0,73.33,5.0,35.9,154401405.1,56.1,8.99,11.989999999999998,101.0,111.6766131482103,6.502355024244599e-06,8.672217657474163e-06,4.715607312159243,-11.943346135259372,-11.655386014703478,14.1394589837429
Чувашская Республика - Чувашия,2015,1230365.0,71.29,11.7,60.7,251306959.0,58.5,13.33,5.76,95.0,204.2539888569652,1.0834183352094704e-05,4.681537592503038e-06,5.319364262836886,-11.432804297104493,-12.27188395658731,14.02282143129511
Чукотский автономный округ,2015,49450.0,63.91,11.3,67.2,61735529.4,64.9,8.61,19.64,101.9,1248.4434661274013,0.0001741152679474,0.0003971688574317,7.1296528272587905,-8.655793018611343,-7.831149034124662,10.808717337050858
Ямало-Ненецкий автономный округ (Тюменская область),2015,519245.0,71.61,11.1,84.9,1791825606.0,64.7,304.02,56.26,104.5,3450.828811062215,0.0005855039528546,0.0001083496230103,8.146369716264074,-7.4430376237031775,-9.130147309357595,13.160131112419007
Ярославская область,2015,1262927.0,70.89,9.4,81.8,443054126.2,56.3,39.98,21.520000000000003,105.6,350.8153093567562,3.165661989964582e-05,1.703978139670781e-05,5.86025990081361,-10.360563271698426,-10.979959865477095,14.04894260077068
