open,close,high,low,value,volume,begin,end
3051.85,3045.39,3056.23,3025.89,43799332389.75,0,2023-09-25 00:00:00,2023-09-25 23:59:59
3034.23,3051.91,3051.91,3001.92,52669899315.15,0,2023-09-26 00:00:00,2023-09-26 23:59:59
3053.37,3067.61,3081.41,3052.59,46210933651.7,0,2023-09-27 00:00:00,2023-09-27 23:59:59
3080.81,3108.07,3108.07,3076.64,51682474548.1,0,2023-09-28 00:00:00,2023-09-28 23:59:59
3121.07,3133.26,3141.12,3106.97,66288609362.75,0,2023-09-29 00:00:00,2023-09-29 23:59:59
3141.69,3132.33,3162.53,3125.58,68632430521.25,0,2023-10-02 00:00:00,2023-10-02 23:59:59
3134.45,3143.88,3146.33,3103.63,51722739274.15,0,2023-10-03 00:00:00,2023-10-03 23:59:59
3138.62,3134.25,3154.97,3130.03,43951700148.25,0,2023-10-04 00:00:00,2023-10-04 23:59:59
3126.71,3131.76,3138.5,3112.96,41598507645.55,0,2023-10-05 00:00:00,2023-10-05 23:59:59
3138.87,3144.89,3145.01,3121.0,39498958223.9,0,2023-10-06 00:00:00,2023-10-06 23:59:59
3166.21,3174.02,3185.86,3164.63,56663325565.05,0,2023-10-09 00:00:00,2023-10-09 23:59:59
3175.08,3177.03,3182.08,3162.61,39536045222.55,0,2023-10-10 00:00:00,2023-10-10 23:59:59
3174.99,3194.12,3196.44,3168.29,66537284095.4,0,2023-10-11 00:00:00,2023-10-11 23:59:59
3130.04,3174.66,3178.5,3122.58,62686809843.5,0,2023-10-12 00:00:00,2023-10-12 23:59:59
3182.47,3192.33,3195.23,3176.17,50282533196.45,0,2023-10-13 00:00:00,2023-10-13 23:59:59
3204.81,3234.78,3235.66,3202.94,65853279415.65,0,2023-10-16 00:00:00,2023-10-16 23:59:59
3239.37,3247.15,3252.55,3228.11,72231692204.35,0,2023-10-17 00:00:00,2023-10-17 23:59:59
3252.31,3249.21,3262.54,3225.44,81213914737.85,0,2023-10-18 00:00:00,2023-10-18 23:59:59
3245.26,3255.16,3260.45,3232.16,57371834112.9,0,2023-10-19 00:00:00,2023-10-19 23:59:59
3257.85,3269.27,3269.71,3236.31,69952835836.6,0,2023-10-20 00:00:00,2023-10-20 23:59:59
3271.76,3263.68,3283.8,3248.39,67528634796.15,0,2023-10-23 00:00:00,2023-10-23 23:59:59
3256.29,3265.01,3266.59,3237.08,57858122995.95,0,2023-10-24 00:00:00,2023-10-24 23:59:59
3265.18,3265.28,3269.76,3243.25,59152443940.2,0,2023-10-25 00:00:00,2023-10-25 23:59:59
3272.71,3223.89,3283.49,3221.79,78078874145.6,0,2023-10-26 00:00:00,2023-10-26 23:59:59
3219.49,3224.18,3241.55,3185.84,71864096635.45,0,2023-10-27 00:00:00,2023-10-27 23:59:59
3232.82,3227.07,3246.0,3219.7,46028692095.7,0,2023-10-30 00:00:00,2023-10-30 23:59:59
3221.08,3200.97,3226.88,3176.53,51194409596.6,0,2023-10-31 00:00:00,2023-10-31 23:59:59
3192.96,3206.52,3214.83,3191.34,34173972609.55,0,2023-11-01 00:00:00,2023-11-01 23:59:59
