SECID,TRADEDATE,OPEN,HIGH,LOW,CLOSE,SETTLEPRICE,VALUE,VOLUME,OPENPOSITION,NUMTRADES,option_type,strike,expiry_date
MM2550BR6,2026-01-09,,,,,191.3,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-01-12,,,,,168.85,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-01-13,,,,,118.15,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-01-14,,,,,124.5,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-01-15,,,,,134.3,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-01-16,,,,,95.15,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-01-19,,,,,196.5,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-01-20,,,,,114.15,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-01-21,,,,,48.6,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-01-22,,,,,99.25,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-01-23,,,,,40.85,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-01-26,,,,,89.55,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-01-27,,,,,194.75,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-01-28,,,,,28.3,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-01-29,,,,,50.15,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-01-30,,,,,56.6,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-02-02,,,,,50.6,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-02-03,,,,,38.0,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-02-04,,,,,44.5,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-02-05,,,,,55.3,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-02-06,,,,,80.4,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-02-09,,,,,88.85,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-02-10,,,,,71.6,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-02-11,,,,,47.45,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-02-12,,,,,47.65,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-02-13,,,,,50.7,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-02-16,,,,,77.9,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-02-17,,,,,74.2,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-02-18,,,,,61.15,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-02-19,,,,,75.9,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-02-20,,,,,46.55,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-02-24,,,,,29.15,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-02-25,,,,,19.65,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-02-26,,,,,60.4,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-02-27,,,,,66.65,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-03-02,,,,,84.6,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-03-03,,,,,70.5,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-03-04,,,,,48.55,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-03-05,,,,,67.8,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-03-06,,,,,50.25,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-03-09,,,,,11.55,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-03-10,,,,,39.8,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-03-11,,,,,10.1,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-03-12,,,,,8.55,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-03-13,,,,,13.55,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-03-16,,,,,9.5,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-03-17,,,,,20.15,,,,0,P,2550.0,2026-06-18
